Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,,,,,,,,,,,"50,41","53,64","68,31","62,76","54,86"
Bulgaria,,,,,,,,,"485,20","470,10","455,10","435,20","350,80","346,90","291,30"
Croatia,,,,,,,,,,,"664,00","559,46","661,72","516,32","412,24"
Czech Republic,,,,,,,"351,36","351,59","295,28","268,82","272,65","354,76","283,22","316,07","258,29"
Denmark,,,,,,,,,"20,42","21,98","19,49","20,56","16,64","20,51","19,38"
Estonia,,,,,,,,,,,"255,79","465,32","182,82","237,74","222,23"
Finland,,,,,,,,,,,"94,36","186,72","79,79","169,13","80,56"
France,"48,00","74,60","63,70","13,90","94,20","72,40","93,50","197,00","119,10","72,80","78,50","99,50","67,30","73,80","70,50"
Germany,,,,,"38,35","49,52","30,13","26,82","29,67","27,37","29,20","39,98","21,06","22,19","23,55"
Great Britain,,,,,"73,22","108,44","87,64","82,17","88,14","76,70","74,75","66,70","98,23","55,74","50,43"
Greece,,,,,,,,,,,"299,00","289,00","258,00","248,00","244,00"
Hungary,,,,,,,,,,,,,,"228,00","216,00"
Ireland,,,,,,,,,,,,,,"183,30","152,40"
Italy,"192,71","626,75","153,15","138,63","114,34","104,05","138,99","122,25","144,55","169,81","198,70","160,68","153,40","195,65","143,74"
Latvia,,,,,,"506,00","497,00","678,00","1.292,00","944,00","636,00","621,00","466,00","350,00","286,00"
Lithuania,,,,"280,26","290,29","326,36","231,50","256,63","421,64","460,50","467,33","366,69","361,49","300,71","345,96"
Luxembourg,,,,,,,,,,,,"33,64","25,09","28,81","21,84"
Malta,,,"556,11","520,15","405,52","490,40","262,18","763,74","693,00","260,00","366,60","421,08","777,60","227,59","163,82"
The Netherlands,,,,,,,,,,,"31,50","29,42","25,89","37,66","27,28"
Norway,,,,,,,,,,,"106,76","181,41","161,12","172,82","128,83"
Poland,,,,,,"531,00","589,69","518,66","515,88","478,81","410,51","420,94","324,81","363,32","272,00"
Portugal,"520,19","468,57","266,95","237,89","261,89","143,31","164,74","282,03","277,61","133,48","95,83","260,26","97,34","77,47","77,65"
Romania,,,,,,,,,,,,"761,00","710,00","582,00","555,00"
Slovakia,,,,,,,,,,,,"298,06","254,36","257,52","258,82"
Slovenia,,,,,,,"253,35","264,65","186,12","202,39","286,04","224,41","1027,19","199,95","191,92"
Spain,,,,,,,,,,,"69,18","108,36","63,36","69,12","65,82"
Sweden,,,,,,,,,,,"105,11","170,81","101,89","134,81","94,42"
Switzerland,,,,,,,,,"28,00","29,00","34,00","25,00","22,00","21,00","19,00"
